,Petal_Length,Petal_Width,Sepal_Length,Sepal_Width,Class,Prediction
46,-1.2234423509591155,-1.308592819437958,-0.8976738791967661,1.7205022770164502,Iris-setosa,Iris-setosa
31,-1.2801181856236823,-1.0465248315665376,-0.5353839727944832,0.7979809488574954,Iris-setosa,Iris-setosa
19,-1.2801181856236823,-1.1775588255022478,-0.8976738791967661,1.7205022770164502,Iris-setosa,Iris-setosa
78,0.42015685431332234,0.3948491017262728,0.1891958400100801,-0.35517071134119854,Iris-versicolor,Iris-virginica
73,0.533508523642456,0.0017471199191426083,0.30995914214417364,-0.5858010433809375,Iris-versicolor,Iris-virginica
75,0.36348101964875573,0.26381510779056266,0.9137756528146435,-0.12454037930145956,Iris-versicolor,Iris-virginica
80,0.023426011661354475,-0.12928687401656727,-0.41462067066038977,-1.5083223715398926,Iris-versicolor,Iris-versicolor
67,0.19345351565505484,-0.26032086795227743,-0.05233076425810806,-0.8164313754206755,Iris-versicolor,Iris-versicolor
91,0.476832688977889,0.26381510779056266,0.30995914214417364,-0.12454037930145956,Iris-versicolor,Iris-virginica
98,-0.42998066565518,-0.12928687401656727,-0.8976738791967661,-1.2776920395001534,Iris-versicolor,Iris-setosa
59,0.08010184632592135,0.26381510779056266,-0.7769105770626714,-0.8164313754206755,Iris-versicolor,Iris-versicolor
94,0.25012935031962197,0.13278111385485278,-0.29385736852629624,-0.8164313754206755,Iris-versicolor,Iris-versicolor
108,1.156942704952691,0.787951083533403,1.034538954948738,-1.2776920395001534,Iris-virginica,Iris-virginica
142,0.7602118623007231,0.9189850774691128,-0.05233076425810806,-0.8164313754206755,Iris-virginica,Iris-virginica
138,0.5901843583070228,0.787951083533403,0.1891958400100801,-0.12454037930145956,Iris-virginica,Iris-virginica
148,0.9302393662944239,1.443121053211953,0.4307224442782682,0.7979809488574954,Iris-virginica,Iris-virginica
124,1.1002668702881244,1.1810530653405331,1.034538954948738,0.5673506168177563,Iris-virginica,Iris-virginica
146,0.7035360276361565,0.9189850774691128,0.5514857464123618,-1.2776920395001534,Iris-virginica,Iris-virginica
110,0.7602118623007231,1.050019071404823,0.79301235068055,0.3367202847780184,Iris-virginica,Iris-virginica
136,1.0435910356235572,1.574155047147663,0.5514857464123618,0.7979809488574954,Iris-virginica,Iris-virginica
121,0.6468601929715898,1.050019071404823,-0.29385736852629624,-0.5858010433809375,Iris-virginica,Iris-virginica
